NomePessoa,Empresa,Valor,Data,Categoria
Steven Rios,"Morris, Serrano and Lewis",308.3,2023-12-31,Lazer
Eric Jones,"Nguyen, Frazier and Young",53.14,2024-07-31,Transporte
Meghan Snow,Martin-Anderson,614.01,2023-11-20,Outros
Charles Jackson,Jones-Boyd,463.2,2024-10-16,Moradia
Seth Taylor,Stevenson PLC,1450.22,2025-04-26,Transporte
Carol Boyd,Simpson-Martin,1895.19,2024-11-28,Eletrônicos
Beverly Flores,Scott-Flowers,1938.51,2023-06-17,Alimentação
Stephanie Hernandez,"Rowland, Brock and Garcia",1923.26,2024-09-07,Vestuário
Anthony Thompson,Mullins-Zimmerman,653.33,2024-01-11,Moradia
Jordan Jenkins,Byrd-Smith,585.75,2024-02-08,Educação
Theodore Carter,Nguyen-Brewer,1887.24,2024-06-26,Educação
David Figueroa,Lutz-Welch,986.11,2024-07-11,Saúde
Andrew Walters,"Bennett, Acevedo and Rogers",325.62,2024-11-25,Saúde
Todd White,West-Bryant,1240.78,2024-05-02,Vestuário
Jose Thomas,Wright-Miller,267.56,2025-02-12,Saúde
Christine Wilson,Mullins-Zimmerman,1452.27,2025-04-07,Eletrônicos
Andrew Marquez,Stevenson PLC,1135.0,2024-01-01,Moradia
Eric Serrano,"Nguyen, Frazier and Young",45.24,2024-04-08,Lazer
David Figueroa,Lutz-Welch,499.76,2024-10-03,Lazer
Tracy Arellano,Lopez Ltd,474.54,2024-11-08,Lazer
Philip Reed,Robinson-Valentine,1832.32,2023-11-26,Moradia
Dalton Castro,Morris-Clark,568.26,2024-03-08,Lazer
Justin Young,Kelley LLC,1589.7,2024-03-29,Educação
Ronald Fuentes,Carrillo Inc,262.99,2023-06-23,Lazer
William Hernandez,Owens-May,1269.04,2023-06-29,Educação
Kevin Gardner,Thompson PLC,1189.74,2025-03-16,Educação
Sarah Hensley,Ward and Sons,1641.12,2024-10-06,Moradia
Amy Riley,Sims Ltd,944.81,2023-06-23,Alimentação
Kevin Mcguire,"Francis, Bell and Foster",1026.81,2025-05-17,Vestuário
Lindsay Guzman,"Cantrell, Martin and Preston",1502.88,2025-03-22,Lazer
Marc Mitchell,Simpson-Martin,1063.18,2023-10-16,Moradia
Ryan Hatfield,Oneill-Scott,1801.86,2025-04-26,Saúde
Misty Brewer,Gould-Walker,904.48,2024-08-20,Educação
Rachel Ellis,Holmes-Kennedy,1542.19,2025-03-17,Eletrônicos
Miranda Nicholson,"Morris, Serrano and Lewis",1697.07,2024-04-01,Alimentação
James Ferrell,Simpson-Martin,500.71,2025-04-21,Alimentação
John Flores,Wright-Miller,718.78,2025-03-09,Moradia
Russell Doyle,West-Bryant,300.78,2025-05-29,Saúde
Ashley Russell,Carr LLC,646.87,2024-05-09,Lazer
Dr. Douglas Smith,Oneill-Scott,1767.59,2025-03-15,Educação
Johnny Williams,"Bennett, Acevedo and Rogers",1623.35,2024-03-02,Educação
Brian Ruiz,"Medina, Barnes and Greene",1848.18,2023-08-21,Vestuário
Andrea Wallace,Walker and Sons,1469.51,2024-12-22,Educação
Michael Wilson,Williams LLC,1599.71,2024-10-17,Saúde
Angela Kirby,"Jacobson, Fritz and Owen",1583.51,2023-10-24,Transporte
Shelly Kelley,Solomon-Miller,1638.99,2024-07-28,Alimentação
Michael Miller,Mcdonald-Boyle,529.37,2023-07-04,Eletrônicos
Andrea Wallace,Walker and Sons,60.31,2025-03-06,Transporte
Ruben Brown,Morris-Clark,743.58,2024-02-04,Eletrônicos
Michael Gibson III,Fuller-Lopez,1255.52,2024-07-14,Outros
Lisa Taylor,Woods-Munoz,1191.75,2024-12-31,Lazer
Sean Fischer,"Newton, Kirk and Collins",1874.44,2023-06-26,Moradia
Monique Williams,Martin-Anderson,403.58,2024-04-04,Moradia
Danielle Wiley,Smith-Davis,334.17,2024-04-27,Eletrônicos
Anthony Lopez,Stuart-Camacho,1912.65,2023-11-12,Vestuário
William Lin,Jarvis-Rodgers,1736.8,2024-07-26,Outros
Philip Sullivan,"Johnson, Allison and Acevedo",743.96,2023-07-16,Lazer
Sarah Dennis,Hale-Dean,1443.8,2024-10-12,Outros
Janet Perez,Young-Fuentes,1261.49,2025-05-09,Lazer
Michael Montgomery MD,Kelley LLC,364.22,2024-10-03,Alimentação
Wanda Nolan,Scott-Flowers,572.99,2023-10-21,Alimentação
Scott Martin MD,White-Johnson,1028.3,2024-12-29,Eletrônicos
Dr. Patricia Dunn,Mcdonald-Boyle,137.12,2024-06-13,Vestuário
Jordan Rollins,Morris-Clark,311.62,2024-12-13,Outros
Kevin Serrano,Jones-Woods,1880.84,2023-08-19,Educação
Mark Sullivan,Martin-Anderson,1511.77,2024-09-30,Lazer
Lance Ingram,"Smith, Mckinney and Hoover",171.51,2024-10-29,Lazer
Mark Hall,"Bennett, Acevedo and Rogers",148.46,2023-12-06,Transporte
Christy Lopez,"Johnson, Allison and Acevedo",133.68,2025-01-29,Transporte
Amy Stewart,Wright-Miller,1581.56,2024-06-08,Eletrônicos
Alexander Wheeler,Payne Group,1647.46,2024-01-20,Educação
Sandra Hopkins,Jordan-Odom,326.53,2024-09-14,Saúde
Molly Dominguez,"Garcia, Williams and Sullivan",486.14,2024-01-14,Outros
Mary Hayes,Hale-Dean,114.44,2023-10-11,Educação
Willie Hunt II,Hill-Young,94.37,2025-02-01,Educação
Angela Townsend,Miller-Owens,473.0,2023-10-31,Eletrônicos
Monica Fitzpatrick,"Smith, Reed and Figueroa",1742.26,2025-04-06,Outros
Shawn Dominguez,Cameron-Black,652.67,2025-01-04,Transporte
Jacob Henderson,Mullins-Zimmerman,1025.39,2025-01-29,Saúde
Jacqueline Pacheco,"Smith, Guzman and Brown",56.79,2023-06-21,Transporte
Leah Burke,Gould-Walker,145.24,2024-09-23,Educação
Pamela Hall,Simpson-Martin,81.65,2024-06-24,Educação
Tyler Bray,Mcdonald-Boyle,988.02,2023-08-23,Lazer
Thomas Freeman,Jarvis-Rodgers,170.45,2023-10-22,Lazer
Alexander Buckley,Gilbert Ltd,1798.17,2024-12-02,Eletrônicos
Joshua Montoya,"Fitzpatrick, Jones and Morgan",433.43,2024-11-29,Outros
Jasmine Montoya,"Singleton, Brown and Lawrence",1831.25,2023-08-14,Saúde
Alan Evans,Byrd-Smith,1116.96,2025-02-23,Outros
Brian Lee,Solomon-Miller,328.13,2024-02-04,Educação
Julian Lopez PhD,"Francis, Bell and Foster",1219.16,2024-12-11,Lazer
Ronald Christensen,Sims Ltd,660.85,2025-05-09,Saúde
Catherine Jacobs,Gomez-Gonzalez,247.14,2023-10-07,Saúde
James Smith,Solomon-Miller,67.35,2025-05-29,Outros
Carlos Brown,"Medina, Barnes and Greene",817.32,2023-11-05,Eletrônicos
Stephen Jackson,"Johnson, Allison and Acevedo",92.9,2024-03-30,Vestuário
Kendra Ruiz,Lambert-Kelley,1866.84,2024-09-01,Educação
Martin Williams,Jones-Boyd,1521.92,2024-08-19,Saúde
Lori Cruz,Stuart-Camacho,1382.6,2024-05-25,Educação
Jennifer Braun,Bailey Ltd,1190.58,2024-01-02,Saúde
Charles Harding,Lutz-Welch,932.92,2025-05-24,Educação
Madison Monroe,Simpson-Martin,1781.51,2024-02-29,Saúde
Beth Solis,"Wells, Robles and Johnson",1027.09,2025-02-24,Saúde
Jason Ramos,Swanson and Sons,440.68,2024-07-28,Eletrônicos
William Dawson,Scott-Flowers,674.52,2024-09-07,Moradia
Victoria Jones,Williams LLC,1442.68,2025-03-02,Lazer
Monica Coleman,"Singleton, Brown and Lawrence",1968.62,2025-03-29,Eletrônicos
James Miller,Lutz-Welch,988.45,2024-08-29,Outros
Abigail Santos,"Jacobson, Fritz and Owen",577.83,2024-04-27,Educação
David Roman,"Francis, Bell and Foster",1236.58,2023-09-07,Alimentação
Paul Anderson,Scott-Flowers,72.09,2025-05-25,Alimentação
Donald Oliver,Oneill-Scott,32.31,2023-10-28,Saúde
Bob Mullins,Webb-Potts,10.02,2023-10-10,Moradia
John Kelly,Torres-Rivera,1460.21,2023-10-25,Eletrônicos
Jennifer Wilkerson,Swanson and Sons,116.54,2024-05-22,Educação
Shelby Daniels,Cameron-Black,389.66,2024-11-06,Transporte
Mark Parker,Miller-Owens,1754.12,2023-11-12,Vestuário
Robert Thomas,Mcdaniel-Key,840.8,2024-06-19,Alimentação
Michael Miller,Mcdonald-Boyle,1543.18,2023-07-17,Vestuário
Amy Barrera,Houston-Hernandez,292.26,2024-07-19,Moradia
Bob Mullins,Webb-Potts,1865.17,2024-08-03,Educação
Kathryn Watson,Jarvis-Rodgers,1839.62,2024-05-05,Alimentação
Angela Velazquez,Riley PLC,1862.78,2024-04-11,Moradia
Tony Woods,"Werner, Olsen and Adams",38.54,2024-07-14,Vestuário
Karen Schmitt,"Rogers, Krueger and Little",477.26,2025-01-27,Outros
Robert Dominguez,Shaffer Ltd,547.43,2024-03-01,Moradia
Eric Serrano,"Nguyen, Frazier and Young",1465.55,2025-06-07,Eletrônicos
Stephen Sanders,Webb-Potts,139.66,2023-11-03,Transporte
Tina Wood,Sims Ltd,83.95,2024-05-17,Transporte
Sarah Dennis,Hale-Dean,936.75,2024-06-06,Eletrônicos
Dustin Smith,"Smith, Reed and Figueroa",36.41,2025-02-19,Alimentação
Janet Sutton,"Leon, Wong and Lopez",135.39,2024-10-31,Saúde
Victoria Stevens,Ward LLC,570.32,2024-04-23,Moradia
Michelle Avery,Sanders LLC,1605.86,2024-03-06,Alimentação
Monique Rogers,Carr LLC,551.21,2024-03-01,Educação
Walter Khan,Silva PLC,1382.45,2025-03-06,Alimentação
Michael Jones,Sims Ltd,97.8,2023-06-19,Transporte
Ralph Combs,Houston-Hernandez,1904.77,2024-06-12,Moradia
Rachel Ellis,Holmes-Kennedy,470.73,2024-01-22,Alimentação
Morgan Tucker,Ward and Sons,734.43,2024-04-10,Lazer
Elizabeth Brewer,Smith-Davis,1643.22,2024-06-17,Outros
Kevin Serrano,Jones-Woods,752.8,2023-07-24,Lazer
Karen Schmitt,"Rogers, Krueger and Little",1106.54,2024-08-22,Eletrônicos
Fred Gonzales,Gould-Walker,1473.04,2023-09-16,Lazer
John Malone,Lutz-Welch,356.19,2024-08-15,Transporte
Andrea Black,Lambert-Kelley,940.29,2024-12-02,Lazer
Nicole Reilly MD,Ward and Sons,591.97,2025-01-10,Moradia
Christian Sanchez,Miller-Owens,1089.11,2025-04-19,Lazer
Kimberly Gillespie,Hernandez-Fox,869.11,2024-06-10,Saúde
Jennifer Braun,Bailey Ltd,283.91,2024-04-02,Lazer
Shelby Daniels,Cameron-Black,938.44,2023-08-27,Outros
Justin Ramsey,Young-Fuentes,1363.87,2025-06-07,Alimentação
Jeffery Lewis,"Anderson, Roth and Holden",1017.64,2025-02-10,Eletrônicos
Jose Thomas,Wright-Miller,689.88,2024-03-23,Eletrônicos
Danielle Hall,Dean Ltd,1599.48,2024-06-25,Eletrônicos
Julie Schultz,Byrd-Smith,1586.63,2024-05-07,Transporte
Marc Mitchell,Simpson-Martin,1648.65,2023-10-02,Vestuário
Alexis Hoffman,Nguyen-Brewer,1092.55,2023-11-16,Outros
Dillon Dawson,"Medina, Barnes and Greene",1155.17,2024-01-05,Saúde
Joshua Bowen,Carr LLC,1105.39,2025-04-21,Eletrônicos
Brian Kirk,Walsh Group,461.3,2023-09-24,Lazer
Melissa Hall,Carrillo Inc,242.67,2025-04-15,Lazer
Alexander Wheeler,Payne Group,1874.49,2025-03-20,Outros
Janet Sutton,"Leon, Wong and Lopez",1640.53,2025-05-08,Educação
Justin Young,Kelley LLC,708.76,2024-12-17,Transporte
Tracy Arellano,Lopez Ltd,1505.62,2024-08-08,Vestuário
Sarah Howard,"Morris, Serrano and Lewis",1284.53,2024-04-01,Moradia
Jennifer Powers,Scott-Flowers,1670.36,2023-10-06,Educação
Thomas Howard,"Bennett, Acevedo and Rogers",11.19,2024-10-21,Outros
Glenda Ayers,Smith-Davis,224.52,2023-07-07,Eletrônicos
Toni Esparza,Gould-Walker,153.69,2025-05-17,Saúde
James Gallegos,Carr LLC,1514.04,2025-03-21,Saúde
Ashley Smith,Byrd-Smith,426.4,2024-09-07,Vestuário
Anthony Thompson,Mullins-Zimmerman,1630.84,2023-06-30,Alimentação
Morgan Kennedy,"Medina, Barnes and Greene",71.88,2025-01-14,Vestuário
Terry Garcia,"Werner, Olsen and Adams",379.57,2024-09-05,Vestuário
Misty Brewer,Gould-Walker,514.33,2023-07-01,Vestuário
James Ortiz,Kelley LLC,1890.3,2024-03-01,Transporte
Christina Ward,"Rogers, Krueger and Little",1398.66,2024-02-16,Saúde
Jeffery Lewis,"Anderson, Roth and Holden",781.62,2025-03-26,Educação
Jennifer Brown,Oneill-Scott,862.76,2023-12-06,Moradia
Mia Frazier,Gilbert Ltd,1233.46,2024-09-16,Alimentação
Trevor Dickerson,Robinson-Valentine,987.75,2024-05-02,Alimentação
Aaron Powers,"Cantrell, Martin and Preston",646.07,2023-10-05,Alimentação
Jamie Brown,Wong-Weber,1404.26,2024-08-21,Transporte
Autumn Harris,Mcdaniel-Key,1082.64,2023-07-27,Vestuário
James Ortiz,Kelley LLC,1380.3,2025-05-26,Lazer
Aaron Nichols,"Smith, Mckinney and Hoover",1943.01,2024-12-04,Moradia
Janet Perez,Young-Fuentes,766.13,2023-08-26,Moradia
Angela Townsend,Miller-Owens,1812.69,2024-05-13,Moradia
Lee Walker,Stuart-Camacho,1092.03,2023-07-07,Vestuário
Michael Hubbard,Jarvis-Rodgers,1451.31,2023-07-01,Vestuário
Lori Jennings,Carr LLC,765.9,2024-02-19,Lazer
James Gallegos,Carr LLC,1211.18,2023-12-14,Moradia
Connie Strong,Terrell Group,652.52,2025-05-04,Outros
Alejandro Hawkins,Cross LLC,1411.04,2023-12-24,Moradia
Stephen Sanders,Webb-Potts,1231.3,2025-06-06,Vestuário
Christina Ward,"Rogers, Krueger and Little",1370.81,2024-03-13,Alimentação
Joshua Bowen,Carr LLC,1017.53,2024-08-21,Vestuário
Melanie Huynh,Hernandez-Fox,370.65,2024-04-03,Saúde
Daniel Graham,Jones-Boyd,1134.45,2025-04-02,Outros
Jesse May,Payne Group,1451.42,2023-10-22,Saúde
Erin Rush,"Smith, Mckinney and Hoover",244.16,2025-03-30,Outros
Emma Hodge,Craig-Martinez,356.1,2024-06-12,Moradia
Tammy Richardson,"Rowland, Brock and Garcia",1708.57,2025-01-27,Alimentação
Randy Caldwell,Sanders LLC,1206.23,2023-10-01,Transporte
Rachel Moreno,Mann Inc,1376.75,2023-11-01,Vestuário
Eric Jones,"Nguyen, Frazier and Young",969.47,2024-04-15,Educação
Michael Suarez,Fuller-Lopez,780.73,2023-12-20,Eletrônicos
Kelsey Perez,Simpson-Martin,759.67,2024-09-20,Saúde
Eric Bruce,Morris-Clark,454.61,2024-05-05,Moradia
Bryan Jackson,Mullins-Zimmerman,1430.52,2023-09-29,Vestuário
Steven Owen,Martin PLC,337.22,2024-03-30,Eletrônicos
Mark Parker,Miller-Owens,1957.81,2024-03-24,Alimentação
Jamie Watkins,Miller-Owens,997.33,2025-02-15,Transporte
Christine Mccoy,Mullins-Zimmerman,1419.73,2025-01-24,Lazer
Mia Frazier,Gilbert Ltd,1091.53,2024-05-08,Transporte
James Ferrell,Simpson-Martin,76.74,2023-12-25,Transporte
Michael Green,"Smith, Guzman and Brown",1407.08,2025-01-08,Vestuário
Erika Scott,"Smith, Guzman and Brown",183.61,2024-08-14,Lazer
John Reeves,Miller-Owens,808.64,2024-11-05,Educação
Yvonne Chavez,Kelley-Grant,1856.46,2024-11-18,Eletrônicos
Kathryn Watson,Jarvis-Rodgers,57.98,2025-04-20,Vestuário
William Jones,Kennedy Ltd,381.71,2024-08-05,Educação
Michael Gibson III,Fuller-Lopez,1323.13,2023-12-21,Outros
Daniel Henderson,West-Bryant,1119.16,2024-01-25,Moradia
Misty Brewer,Gould-Walker,1942.02,2024-09-20,Eletrônicos
Tyler Bray,Mcdonald-Boyle,832.38,2023-08-23,Outros
Linda Baker,"Myers, Wilson and Thomas",472.17,2024-02-19,Eletrônicos
Terri Howard,Smith-Davis,275.1,2025-02-03,Transporte
Christina Ward,"Rogers, Krueger and Little",750.0,2023-10-21,Outros
Timothy Berry,Jones-Boyd,34.21,2025-01-12,Outros
Jennifer Jones,"Lee, Jackson and Patel",539.12,2024-09-29,Outros
Kimberly Ochoa,"Myers, Wilson and Thomas",613.65,2025-03-05,Eletrônicos
Shawn Dominguez,Cameron-Black,1842.26,2025-05-18,Moradia
Philip Hobbs,"Medina, Barnes and Greene",434.99,2025-03-21,Moradia
Philip Sullivan,"Johnson, Allison and Acevedo",962.68,2025-02-01,Vestuário
Brianna Mccullough,"Nguyen, Frazier and Young",781.84,2023-08-13,Outros
James Hall,Woods-Munoz,1609.7,2023-11-28,Eletrônicos
Kimberly Smith,"Nguyen, Frazier and Young",262.64,2023-10-12,Outros
Elizabeth Berry,Mcdaniel-Key,1723.76,2025-03-28,Vestuário
Philip Sullivan,"Johnson, Allison and Acevedo",1031.64,2023-09-12,Vestuário
Tim Cooper,Jarvis-Rodgers,337.82,2025-04-09,Transporte
Michael Ferguson,Thompson PLC,1254.99,2024-02-12,Educação
Antonio Phillips,Ward and Sons,532.31,2025-02-07,Alimentação
Autumn Harris,Mcdaniel-Key,869.42,2024-02-21,Lazer
Jenna Neal,Wright-Miller,795.31,2023-11-26,Educação
Monique Rogers,Carr LLC,1455.73,2023-08-25,Lazer
Eric Alvarado,Torres-Rivera,905.16,2024-12-13,Educação
Denise Simpson,Scott-Flowers,1815.94,2024-05-31,Moradia
Amanda Jackson,"Nguyen, Frazier and Young",1899.28,2024-03-31,Outros
Jamie Palmer,Byrd-Smith,819.0,2024-06-20,Eletrônicos
James Gallegos,Carr LLC,1201.97,2024-02-27,Saúde
Dr. Patricia Dunn,Mcdonald-Boyle,1548.47,2024-10-09,Transporte
Kristina Brady,"Medina, Barnes and Greene",71.52,2025-01-21,Vestuário
Russell Doyle,West-Bryant,178.84,2024-07-24,Eletrônicos
Kelsey Perez,Simpson-Martin,1286.39,2024-01-13,Lazer
Charles Jackson,Jones-Boyd,792.6,2024-06-22,Moradia
Michael Jones,Sims Ltd,1615.55,2024-03-28,Lazer
Jennifer Brown,Oneill-Scott,1674.29,2023-10-20,Lazer
Ricardo Sutton,"Garcia, Williams and Sullivan",623.2,2023-08-26,Moradia
Amber Shepherd,Cross LLC,980.7,2023-09-24,Outros
Andrew Lewis,Carrillo Inc,1367.55,2024-03-22,Eletrônicos
Laura Bryant,Shaffer Ltd,680.78,2025-04-07,Moradia
Richard Fuentes,Owens-May,691.4,2024-03-13,Outros
Craig Pierce,Lutz-Welch,1266.42,2024-08-10,Saúde
Michael Roberts Jr.,Mullins-Zimmerman,543.74,2025-05-17,Saúde
Tina Hooper,Stevenson PLC,585.0,2023-07-27,Outros
Molly Dominguez,"Garcia, Williams and Sullivan",632.97,2023-10-29,Lazer
Yvonne Chavez,Kelley-Grant,486.44,2024-05-02,Educação
Christopher Benton,Fuller-Lopez,1944.96,2024-05-21,Educação
Ashley Smith,Byrd-Smith,676.65,2025-02-05,Transporte
Charles Jackson,Jones-Boyd,535.18,2023-07-18,Transporte
Brian Holder,"Huynh, Black and Barajas",1321.63,2024-07-11,Eletrônicos
Philip Hobbs,"Medina, Barnes and Greene",1542.12,2023-10-26,Saúde
Cindy Harris,"Huynh, Black and Barajas",1377.34,2024-08-04,Lazer
James Brown,Rivera-Graham,1090.12,2025-06-12,Lazer
Donna White,"Johnson, Allison and Acevedo",1598.08,2024-03-19,Outros
Brianna Mccullough,"Nguyen, Frazier and Young",243.25,2023-09-28,Saúde
Samantha Burns,"Nguyen, Frazier and Young",501.58,2025-02-24,Lazer
Eric Bruce,Morris-Clark,1775.67,2024-11-26,Moradia
Daniel Henderson,West-Bryant,498.81,2024-07-31,Moradia
Shannon Luna,Ward-Bruce,548.77,2025-03-08,Moradia
Cody Wheeler,Dean Ltd,689.38,2025-02-19,Saúde
Seth Taylor,Stevenson PLC,153.38,2023-08-03,Vestuário
Scott Rogers,Webb-Potts,759.36,2024-03-29,Outros
Catherine Jacobs,Gomez-Gonzalez,16.5,2023-07-20,Educação
Zachary Morrow,Kennedy Ltd,1868.9,2025-06-02,Moradia
Lori Jennings,Carr LLC,1870.15,2024-06-17,Outros
Tyler Bray,Mcdonald-Boyle,1644.1,2024-12-15,Outros
Madison Monroe,Simpson-Martin,846.78,2023-06-23,Saúde
William Lin,Jarvis-Rodgers,1963.34,2024-08-06,Moradia
Crystal Ortiz,Hale-Dean,225.08,2024-10-04,Transporte
Brian Lee,Solomon-Miller,633.15,2023-10-26,Eletrônicos
Kimberly Smith,"Newton, Kirk and Collins",254.6,2023-10-13,Alimentação
Natasha Benson,Carrillo Inc,1695.88,2024-03-11,Saúde
Sean Fischer,"Newton, Kirk and Collins",1101.5,2023-07-01,Saúde
Rachel Davis,"Garcia, Williams and Sullivan",1569.9,2024-12-13,Transporte
Donna White,"Johnson, Allison and Acevedo",89.48,2023-09-13,Alimentação
Christina Ward,"Rogers, Krueger and Little",231.75,2023-12-23,Saúde
Danielle Wiley,Smith-Davis,865.31,2023-10-16,Educação
Bryan Jimenez,"Newton, Kirk and Collins",1240.44,2025-03-30,Saúde
Sherry Lucas,Wright-Miller,1109.71,2024-12-01,Educação
Deborah Smith,Dean Ltd,55.68,2025-05-31,Lazer
Deborah Davis,Mcdonald-Boyle,447.55,2024-06-21,Transporte
Donna White,"Johnson, Allison and Acevedo",1088.01,2025-05-24,Alimentação
Monica Fitzpatrick,"Smith, Reed and Figueroa",329.19,2025-01-26,Saúde
James Reese,"Fitzpatrick, Jones and Morgan",977.65,2024-05-04,Vestuário
Megan Taylor,Smith-Davis,1692.31,2025-04-11,Educação
James Gallegos,Carr LLC,924.42,2024-08-10,Eletrônicos
Christopher Miller,Torres-Rivera,355.35,2024-05-22,Educação
Robert Thomas,Mcdaniel-Key,223.7,2024-03-16,Educação
Monique Rogers,Carr LLC,623.9,2024-09-16,Transporte
Michael Gibson III,Fuller-Lopez,434.64,2024-03-09,Vestuário
Tracey Turner,Lopez Ltd,173.17,2023-07-07,Moradia
Emily Young,Mcdaniel-Key,309.27,2024-02-11,Transporte
Danielle Hall,Dean Ltd,1233.96,2024-03-10,Transporte
Laura Ward,"Gomez, Diaz and Williams",1087.12,2025-04-10,Saúde
Heather Nelson,"Smith, Guzman and Brown",1764.79,2025-06-02,Moradia
Anna Martin,Torres-Rivera,1581.28,2024-07-10,Outros
Jeffery Lewis,"Anderson, Roth and Holden",650.94,2024-04-05,Moradia
William White,Sims Ltd,1235.12,2024-02-26,Moradia
Seth Taylor,Stevenson PLC,418.88,2024-07-09,Eletrônicos
Rachel Gillespie,Hernandez-Fox,163.94,2025-01-01,Transporte
Jesus Johnson,Wong-Weber,1578.26,2024-08-01,Educação
Beth Solis,"Wells, Robles and Johnson",635.28,2023-06-19,Transporte
Erika Melton,Shaffer Ltd,505.04,2023-07-04,Saúde
Sandra Whitehead,"Smith, Reed and Figueroa",469.48,2023-07-25,Moradia
Tina Schwartz,"Lee, Jackson and Patel",58.31,2024-07-13,Educação
Shelby Daniels,Cameron-Black,1398.19,2025-01-29,Moradia
Heather Castro,"Cantrell, Martin and Preston",1602.2,2023-11-07,Transporte
William Jones,Kennedy Ltd,696.92,2023-08-15,Transporte
Christine Mccoy,Mullins-Zimmerman,987.01,2023-09-03,Moradia
Bryan Ryan,"Gomez, Diaz and Williams",854.03,2023-07-01,Transporte
Jamie Brown,Wong-Weber,702.98,2023-10-07,Saúde
Katherine Keller,Ward-Bruce,1824.08,2023-11-14,Saúde
Willie Hunt II,Hill-Young,324.62,2024-07-30,Educação
William Wolf MD,"Nguyen, Frazier and Young",1175.13,2023-06-29,Outros
Jose Thomas,Wright-Miller,1066.56,2025-03-21,Educação
Tracey Turner,Lopez Ltd,82.22,2023-07-08,Transporte
Miranda Nicholson,"Morris, Serrano and Lewis",105.48,2024-08-02,Educação
Richard Bush,White-Johnson,1417.14,2024-06-18,Eletrônicos
Mark Sullivan,Martin-Anderson,1234.75,2024-01-08,Outros
Veronica Tyler,"Medina, Barnes and Greene",508.28,2024-12-16,Outros
Martin Howard,Scott-Flowers,517.74,2024-10-03,Eletrônicos
Tammy Richardson,"Rowland, Brock and Garcia",291.85,2023-06-29,Transporte
Charles Jackson,Jones-Boyd,1743.31,2023-08-15,Eletrônicos
Bryan Jackson,Mullins-Zimmerman,824.83,2023-09-11,Eletrônicos
Carlos Ramirez,Davies-Le,142.89,2023-09-04,Vestuário
Daniel Chandler,Simpson-Martin,113.77,2024-05-02,Eletrônicos
Christopher Everett,Byrd-Smith,1100.4,2024-08-11,Transporte
Brittany George,Stevenson PLC,344.17,2024-10-04,Alimentação
Judith Huang,Nguyen-Brewer,1923.07,2024-08-16,Vestuário
Misty Brewer,Gould-Walker,1547.94,2023-12-16,Saúde
Johnny Griffin,Bailey Ltd,1568.46,2025-02-19,Outros
Arthur Cooper,Payne Group,1560.33,2024-08-26,Outros
Veronica Huber,Jordan-Odom,744.17,2023-09-23,Eletrônicos
Samuel Delacruz,"Garcia, Williams and Sullivan",1071.98,2023-07-28,Eletrônicos
Michael Hubbard,Jarvis-Rodgers,1575.95,2023-11-25,Lazer
William Wolf MD,"Nguyen, Frazier and Young",351.87,2025-01-29,Saúde
Tony Garcia,Douglas Inc,1628.48,2023-12-10,Outros
Natalie Higgins,Young-Fuentes,1790.73,2024-10-17,Transporte
Angela Evans,Rivera-Graham,342.33,2024-05-19,Moradia
Jennifer Powers,Scott-Flowers,1694.61,2024-12-03,Educação
Justin Ramsey,Young-Fuentes,1221.85,2024-12-09,Lazer
James Roth,Montes Inc,1568.48,2023-10-14,Moradia
Michael Hubbard,Jarvis-Rodgers,915.34,2025-01-25,Vestuário
Heather Castro,"Cantrell, Martin and Preston",503.95,2025-01-05,Alimentação
Misty Brewer,Gould-Walker,1965.88,2023-08-14,Eletrônicos
Kathy Velasquez,Morris-Clark,581.53,2024-12-12,Outros
Glenda Ayers,Smith-Davis,985.01,2024-05-18,Transporte
Leah Burke,Gould-Walker,1087.52,2023-08-10,Transporte
Jamie Palmer,Byrd-Smith,1054.85,2025-05-04,Outros
Patricia Brown,"Anderson, Roth and Holden",1574.91,2025-04-23,Transporte
Mark Hall,"Bennett, Acevedo and Rogers",510.35,2025-05-16,Transporte
Antonio Nelson,Cameron-Black,1011.27,2024-01-17,Moradia
Matthew Oneill,Montes Inc,1611.63,2024-11-21,Educação
Ronald Park,Cross LLC,1203.6,2025-02-12,Lazer
Adrian Carpenter,Woods-Munoz,603.9,2025-04-01,Transporte
John Kelly,Torres-Rivera,758.13,2024-08-17,Lazer
Mary Hayes,Hale-Dean,635.94,2025-03-23,Educação
Mark Hall,"Bennett, Acevedo and Rogers",41.92,2025-04-15,Transporte
Tara Poole,Fuller-Lopez,1280.52,2024-02-03,Eletrônicos
Michelle Bentley,Jordan-Odom,1731.74,2023-07-06,Eletrônicos
Michael Jones,Sims Ltd,1589.58,2025-02-05,Transporte
Michael Hubbard,Jarvis-Rodgers,293.21,2024-10-20,Educação
Heather Marshall,Williams LLC,883.66,2025-01-26,Moradia
Valerie Key,Riley PLC,938.03,2023-11-16,Moradia
Andrea Black,Lambert-Kelley,1765.94,2025-01-13,Moradia
Samantha Carney,Jones-Woods,837.44,2025-06-06,Alimentação
Michael Hubbard,Jarvis-Rodgers,1895.97,2024-06-19,Vestuário
Andrea Wallace,Walker and Sons,754.33,2025-01-12,Lazer
Justin Morgan,Thompson PLC,1819.69,2024-03-14,Transporte
David Roman,"Francis, Bell and Foster",1200.49,2025-01-10,Lazer
Jimmy Wood,Montes Inc,1030.0,2024-03-04,Moradia
